player,games,minutes,points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,rebds.,assists,steals,blocks,TOV,PF,EFF,AST/,STL/,salary
Domantas Sabonis,54,1922,1079,407,777,52.4,44,142,31,221,303,72.9,134,500,634,333,61,29,183,181,1501,1.82,0.33,17187500
LeBron James,43,1448,1077,400,779,51.3,101,276,36.6,176,251,70.1,25,313,338,336,45,25,162,68,1205,2.07,0.28,39219565
Karl-Anthony Towns,43,1474,1068,369,757,48.7,106,269,39.4,224,260,86.2,112,356,468,196,32,55,140,157,1255,1.4,0.23,29430000
Ja Morant,55,1764,1063,380,836,45.5,61,201,30.3,242,328,73.8,50,163,213,401,51,11,171,78,1026,2.35,0.3,9166800
James Harden,42,1558,1060,334,722,46.3,117,327,35.8,275,316,87,35,301,336,457,50,29,173,95,1330,2.64,0.29,40824000
Buddy Hield,63,2163,1050,359,882,40.7,251,639,39.3,81,96,84.4,25,264,289,206,54,27,110,161,978,1.87,0.49,24431818
Jordan Clarkson,60,1570,1042,379,913,41.5,178,518,34.4,106,115,92.2,43,194,237,138,53,9,100,91,836,1.38,0.53,11500000
Jimmy Butler,48,1622,1031,340,689,49.3,19,93,20.4,332,384,86.5,87,249,336,345,100,18,101,67,1328,3.42,0.99,34379100
Bojan Bogdanovic,64,1958,1029,336,790,42.5,158,411,38.4,199,227,87.7,34,211,245,121,38,4,102,101,853,1.19,0.37,17850000
Chris Paul,63,1986,1021,389,787,49.4,91,237,38.4,152,163,93.3,24,262,286,552,88,15,143,146,1410,3.86,0.62,41358814
Michael Porter Jr.,54,1702,1019,389,717,54.3,145,327,44.3,96,123,78,86,322,408,60,32,54,64,111,1154,0.94,0.5,3550800
Jamal Murray,48,1704,1018,378,792,47.7,129,316,40.8,133,153,86.9,37,157,194,231,64,13,108,95,978,2.14,0.59,29250000
Dillon Brooks,59,1733,994,373,889,42,111,322,34.5,137,163,84,47,125,172,135,68,22,110,205,739,1.23,0.62,11400000
Tim Hardaway Jr.,62,1753,991,348,797,43.7,174,456,38.2,121,150,80.7,17,188,205,106,27,9,58,100,802,1.83,0.47,18975000
John Collins,56,1673,989,386,702,55,70,184,38,147,176,83.5,111,313,424,75,31,56,73,172,1157,1.03,0.43,4137302
Fred VanVleet,50,1813,970,321,821,39.1,165,450,36.7,163,184,88.6,30,182,212,310,83,36,91,115,999,3.41,0.91,21250000
Darius Garland,53,1778,938,361,799,45.2,104,264,39.4,112,132,84.8,23,106,129,327,65,6,163,110,844,2.01,0.4,6720720
Dejounte Murray,59,1893,936,389,858,45.3,61,181,33.7,97,120,80.8,50,372,422,318,93,6,101,126,1182,3.15,0.92,14285714
Deandre Ayton,64,1959,935,403,651,61.9,4,20,20,125,164,76.2,214,468,682,92,37,71,98,186,1432,0.94,0.38,10018200
Harrison Barnes,58,2102,933,319,642,49.7,100,256,39.1,195,235,83,64,321,385,201,43,11,93,75,1117,2.16,0.46,22215909
Joe Harris,65,2008,928,340,666,51.1,201,419,48,47,61,77,41,189,230,123,44,14,55,129,944,2.24,0.8,16071429
Jonas Valanciunas,55,1537,928,385,664,58,21,55,38.2,137,180,76.1,223,455,678,100,31,42,91,158,1366,1.1,0.34,15000000
Dennis Schroder,59,1901,915,324,740,43.8,67,200,33.5,200,237,84.4,30,177,207,343,68,13,160,155,933,2.14,0.43,15500000
CJ McCollum,39,1320,904,337,737,45.7,142,358,39.7,88,107,82.2,25,136,161,183,39,18,54,76,832,3.39,0.72,29354152
Coby White,61,1888,903,325,787,41.3,131,380,34.5,122,134,91,23,224,247,284,34,13,137,159,870,2.07,0.25,5572680
Rudy Gobert,63,1949,900,346,510,67.8,0,3,0,208,335,62.1,210,635,845,79,34,177,103,148,1641,0.77,0.33,26525281
Jrue Holiday,52,1672,899,359,713,50.4,94,243,38.7,87,112,77.7,65,171,236,301,90,29,113,89,1063,2.66,0.8,26131111
Clint Capela,57,1720,876,379,641,59.1,0,0,0,118,208,56.7,275,552,827,46,40,119,65,130,1491,0.71,0.62,16000000
Montrezl Harrell,63,1487,870,352,561,62.7,0,10,0,166,234,70.9,148,254,402,68,45,47,70,122,1085,0.97,0.64,9258000
Gordon Hayward,44,1496,863,311,658,47.3,85,205,41.5,156,185,84.3,37,221,258,181,52,14,91,74,901,1.99,0.57,28500000
Christian Wood,41,1326,860,329,640,51.4,77,206,37.4,125,198,63.1,76,319,395,71,34,48,80,88,944,0.89,0.43,13015874
Carmelo Anthony,63,1558,858,305,725,42.1,120,298,40.3,128,145,88.3,31,171,202,96,45,35,59,130,740,1.63,0.76,2564753
Kelly Oubre Jr.,55,1688,849,318,724,43.9,90,285,31.6,123,177,69.5,82,247,329,73,57,42,70,121,820,1.04,0.81,14375000
Mikal Bridges,64,2094,847,318,598,53.2,116,285,40.7,95,116,81.9,69,208,277,139,65,55,51,103,1031,2.73,1.28,4359000
Duncan Robinson,65,2064,845,284,649,43.8,225,556,40.5,52,64,81.3,5,223,228,113,35,16,72,164,788,1.57,0.49,1663861
Gary Trent Jr.,55,1699,836,304,733,41.5,157,404,38.9,71,91,78,22,117,139,77,54,9,41,84,625,1.88,1.32,1663861
Shai Gilgeous-Alexander,35,1180,830,287,565,50.8,71,170,41.8,185,229,80.8,19,147,166,207,27,23,106,70,825,1.95,0.26,4141320
John Wall,40,1288,823,293,726,40.4,79,249,31.7,158,211,74.9,17,112,129,275,42,31,141,46,673,1.95,0.3,41254920
Kelly Olynyk,64,1817,814,301,618,48.7,114,341,33.4,98,118,83.1,77,360,437,159,68,37,108,184,1070,1.47,0.63,12198243
Mike Conley,49,1459,806,278,623,44.6,134,329,40.7,116,136,85.3,35,134,169,293,67,9,98,94,881,2.99,0.68,34504132
Chris Boucher,59,1415,802,283,545,51.9,88,226,38.9,148,188,78.7,116,281,397,63,34,110,46,164,1058,1.37,0.74,6490385
Richaun Holmes,55,1624,798,335,520,64.4,2,11,18.2,126,159,79.2,137,339,476,88,34,86,68,196,1196,1.29,0.5,5005350
Miles Bridges,64,1858,793,295,583,50.6,109,269,40.5,94,109,86.2,79,309,388,143,43,48,103,137,1009,1.39,0.42,3934320
Kyle Lowry,46,1602,791,260,596,43.6,131,331,39.6,140,160,87.5,35,212,247,338,45,14,126,143,953,2.68,0.36,30000000
Kevin Durant,28,921,788,272,496,54.8,75,157,47.8,169,193,87.6,11,179,190,145,20,34,100,56,829,1.45,0.2,39058950
Josh Jackson,58,1456,783,282,663,42.5,72,237,30.4,147,203,72.4,52,181,233,129,49,42,131,166,668,0.99,0.37,4767000
Kyle Kuzma,61,1746,783,300,685,43.8,126,347,36.3,57,83,68.7,104,279,383,109,31,39,102,108,832,1.07,0.3,3562178
Keldon Johnson,60,1743,780,301,621,48.5,54,158,34.2,124,171,72.5,84,299,383,106,37,24,66,129,897,1.61,0.56,2048040
Kevin Huerter,63,1966,770,295,675,43.7,131,357,36.7,49,62,79,35,173,208,220,78,16,75,153,824,2.93,1.04,2761920
Doug McDermott,57,1381,764,300,563,53.3,94,244,38.5,70,86,81.4,58,143,201,76,18,4,45,96,739,1.69,0.4,7333333
Ben Simmons,52,1697,755,293,530,55.3,3,10,30,166,274,60.6,86,300,386,361,85,34,163,156,1113,2.22,0.52,29250000
Tyrese Haliburton,58,1746,753,292,619,47.2,121,296,40.9,48,56,85.7,39,134,173,309,77,28,92,83,913,3.36,0.84,3831840
Eric Bledsoe,63,1879,752,264,634,41.6,111,321,34.6,113,160,70.6,26,187,213,230,48,19,101,101,744,2.28,0.48,16875000
Caris LeVert,39,1199,750,288,648,44.4,68,214,31.8,106,134,79.1,29,142,171,184,54,23,74,82,720,2.49,0.73,16203704
Brook Lopez,63,1720,748,279,568,49.1,91,266,34.2,99,116,85.3,88,219,307,48,38,94,58,134,871,0.83,0.66,12697675
Jalen Brunson,60,1513,748,286,551,51.9,67,174,38.5,109,138,79,27,185,212,206,30,0,72,96,830,2.86,0.42,1663861
Kyle Anderson,61,1657,745,270,583,46.3,80,229,34.9,125,160,78.1,49,312,361,212,77,49,75,106,1021,2.83,1.03,9505100
Devonte' Graham,51,1531,740,231,618,37.4,163,437,37.3,115,140,82.1,19,118,137,275,47,6,81,73,712,3.4,0.58,1663861
Enes Kanter,64,1614,739,311,514,60.5,0,1,0,117,150,78,262,459,721,80,32,44,74,156,1306,1.08,0.43,5005350
Shake Milton,56,1316,737,270,603,44.8,62,177,35,135,161,83.9,31,98,129,168,35,14,96,119,628,1.75,0.37,1701593
Thaddeus Young,60,1452,730,331,574,57.7,10,37,27,58,92,63,147,222,369,259,68,33,118,142,1064,2.2,0.58,13545000
P.J. Washington,57,1710,728,266,593,44.9,96,242,39.7,100,133,75.2,79,277,356,145,55,73,117,152,880,1.24,0.47,4023600
Jae'Sean Tate,65,1909,726,292,569,51.3,52,175,29.7,90,129,69.8,124,224,348,152,84,34,86,206,942,1.77,0.98,1445967
Joe Ingles,59,1626,724,245,486,50.4,167,353,47.3,67,80,83.8,26,189,215,265,38,12,101,108,899,2.62,0.38,10863637
Malik Beasley,37,1214,724,264,600,44,128,321,39.9,68,80,85,28,134,162,88,30,7,60,62,603,1.47,0.5,13325895
Jarrett Allen,55,1612,723,268,418,64.1,5,14,35.7,182,256,71.1,168,381,549,89,27,84,85,87,1163,1.05,0.32,3909902
Lonzo Ball,50,1577,720,261,620,42.1,154,407,37.8,44,56,78.6,28,204,232,292,76,29,108,96,870,2.7,0.7,11003782
Saddiq Bey,62,1624,720,232,576,40.3,148,389,38,108,126,85.7,36,232,268,82,47,11,50,96,716,1.64,0.94,2689920
Terrence Ross,46,1347,717,254,616,41.2,89,264,33.7,120,138,87,15,143,158,108,47,21,74,88,597,1.46,0.64,13500000
Kendrick Nunn,50,1473,716,278,582,47.8,112,289,38.8,48,52,92.3,18,141,159,137,49,12,74,98,691,1.85,0.66,1663861
Tyler Herro,48,1472,715,268,627,42.7,90,262,34.4,89,110,80.9,23,210,233,162,34,17,91,61,690,1.78,0.37,3822240
Will Barton,56,1736,711,259,608,42.6,98,257,38.1,95,121,78.5,39,187,226,181,50,23,96,95,720,1.89,0.52,13920000
Kemba Walker,39,1227,710,244,597,40.9,110,316,34.8,112,122,91.8,13,141,154,195,43,11,80,55,670,2.44,0.54,34379100
Naz Reid,63,1207,703,270,519,52,55,154,35.7,108,153,70.6,69,213,282,64,31,67,62,160,791,1.03,0.5,1517981
Lou Williams,59,1314,699,246,599,41.1,64,162,39.5,143,166,86.1,20,103,123,201,47,6,97,58,603,2.07,0.49,8000000
Luguentz Dort,49,1469,696,236,597,39.5,107,308,34.7,117,156,75,33,146,179,80,44,19,76,125,542,1.05,0.58,1517981
Dwayne Bacon,64,1649,690,255,632,40.3,56,188,29.8,124,148,83.8,23,168,191,78,40,4,41,93,561,1.9,0.98,1678854
Immanuel Quickley,59,1154,690,217,547,39.7,111,284,39.1,145,162,89.5,24,106,130,126,29,12,54,106,586,2.33,0.54,2105520
Rui Hachimura,51,1605,688,264,559,47.2,40,122,32.8,120,156,76.9,44,237,281,75,42,5,63,111,697,1.19,0.67,4692840
OG Anunoby,43,1433,682,249,519,48,104,261,39.8,80,102,78.4,54,183,237,94,66,32,75,114,744,1.25,0.88,3872215
Patty Mills,60,1523,678,233,561,41.5,148,394,37.6,64,71,90.1,18,88,106,148,40,3,57,73,583,2.6,0.7,13285714
LaMelo Ball,43,1232,677,247,550,44.9,82,223,36.8,101,130,77.7,54,199,253,264,70,17,125,121,824,2.11,0.56,7839960
Bobby Portis,59,1251,675,281,532,52.8,68,142,47.9,45,60,75,106,315,421,67,47,23,51,108,916,1.31,0.92,3623000
D'Angelo Russell,35,977,664,238,547,43.5,100,258,38.8,88,113,77.9,11,75,86,191,36,14,97,62,560,1.97,0.37,28649250
Darius Bazley,49,1531,659,245,602,40.7,72,249,28.9,97,142,68.3,44,317,361,82,26,25,106,58,645,0.77,0.25,2399160
Jeff Green,61,1671,652,227,476,47.7,85,220,38.6,113,143,79,30,210,240,103,35,25,47,110,729,2.19,0.75,2564753
Victor Oladipo,33,1080,652,235,576,40.8,78,239,32.6,104,138,75.4,12,148,160,151,46,14,83,81,565,1.82,0.55,21000000
Justin Holiday,63,1915,647,221,547,40.4,149,399,37.3,56,71,78.9,29,197,226,105,73,29,49,118,690,2.14,1.49,5720400
Reggie Jackson,61,1401,644,237,528,44.9,106,242,43.8,64,79,81,23,152,175,193,38,6,69,122,681,2.8,0.55,2331593
Seth Curry,51,1466,626,227,498,45.6,108,247,43.7,64,71,90.1,10,103,113,137,40,8,60,83,586,2.28,0.67,7813953
Bryn Forbes,63,1218,625,223,479,46.6,136,307,44.3,43,55,78.2,11,90,101,38,22,0,37,66,481,1.03,0.6,2337145
Rudy Gay,55,1203,625,231,549,42.1,91,235,38.7,72,91,79.1,39,228,267,80,38,31,59,105,645,1.36,0.64,14000000
Anthony Davis,29,930,617,243,482,50.4,21,81,25.9,110,154,71.4,53,180,233,89,38,52,58,53,688,1.53,0.66,32742000
Josh Richardson,51,1605,617,225,534,42.1,76,240,31.7,91,100,91,43,135,178,139,48,22,72,121,614,1.93,0.67,10800000
Elfrid Payton,55,1364,612,257,581,44.2,28,94,29.8,70,102,68.6,63,130,193,187,43,9,93,100,595,2.01,0.46,5760000
Lauri Markkanen,43,1143,608,220,462,47.6,100,256,39.1,68,81,84,31,201,232,39,20,12,44,63,612,0.89,0.46,6731508
Andre Drummond,38,1049,604,248,507,48.9,0,8,0,108,176,61.4,139,331,470,84,58,41,109,118,821,0.77,0.53,29546311
Derrick Rose,43,1077,604,233,515,45.2,40,109,36.7,98,115,85.2,16,88,104,179,44,18,64,49,586,2.8,0.69,7682927
Evan Fournier,36,1064,601,202,454,44.5,93,239,38.9,104,131,79.4,7,98,105,114,41,14,67,80,529,1.7,0.61,17000000
Reggie Bullock,57,1649,600,212,476,44.5,139,336,41.4,37,42,88.1,13,178,191,84,44,9,39,127,620,2.15,1.13,4200000
Danilo Gallinari,45,1070,595,176,417,42.2,92,228,40.4,151,161,93.8,15,164,179,63,23,7,41,93,575,1.54,0.56,19500000
Marcus Smart,44,1453,594,189,473,40,89,265,33.6,127,159,79.9,34,118,152,250,67,21,82,113,686,3.05,0.82,13446428
Ivica Zubac,65,1461,593,233,362,64.4,0,3,0,127,162,78.4,177,297,474,81,24,56,75,170,989,1.08,0.32,7000000
Myles Turner,47,1455,592,206,432,47.7,69,206,33.5,111,142,78.2,63,243,306,48,40,159,67,165,821,0.72,0.6,18000000
Donte DiVincenzo,59,1617,591,219,535,40.9,111,298,37.2,42,57,73.7,71,258,329,179,66,13,82,95,765,2.18,0.81,3044160
Danny Green,62,1749,587,202,488,41.4,156,385,40.5,27,35,77.1,51,181,232,106,82,53,62,117,704,1.71,1.32,15365854
Daniel Theis,61,1485,585,237,435,54.5,44,143,30.8,67,102,65.7,82,245,327,101,36,54,61,154,809,1.66,0.59,5000000
Bogdan Bogdanovic,38,1108,579,216,475,45.5,114,274,41.6,33,37,89.2,18,126,144,124,37,10,49,85,582,2.53,0.76,18000000
Patrick Williams,63,1776,579,226,472,47.9,48,124,38.7,79,107,73.8,54,233,287,87,55,40,86,114,688,1.01,0.64,7068360
Wendell Carter Jr.,50,1276,575,218,423,51.5,14,45,31.1,125,171,73.1,120,285,405,98,34,39,75,137,825,1.31,0.45,5448840
Goran Dragic,44,1173,572,205,474,43.2,72,205,35.1,90,109,82.6,21,131,152,198,31,8,105,98,568,1.89,0.3,18000000
Aaron Gordon,44,1236,569,209,449,46.5,57,164,34.8,94,144,65.3,67,189,256,151,29,30,91,81,654,1.66,0.32,18136364
Mason Plumlee,55,1474,569,228,372,61.3,0,7,0,113,169,66.9,142,371,513,197,42,48,104,182,1065,1.89,0.4,8000000
Cameron Johnson,58,1388,564,200,465,43,116,323,35.9,48,57,84.2,32,160,192,84,33,16,40,83,575,2.1,0.83,4235160
Kentavious Caldwell-Pope,59,1640,562,190,444,42.8,105,254,41.3,77,89,86.5,23,129,152,100,53,20,57,96,564,1.75,0.93,12073020
Alec Burks,44,1134,553,184,444,41.4,89,218,40.8,96,111,86.5,19,179,198,96,30,12,44,91,570,2.18,0.68,6000000
Derrick White,36,1064,553,186,453,41.1,84,243,34.6,97,114,85.1,13,94,107,127,26,36,45,91,520,2.82,0.58,3516284
Brandon Clarke,52,1282,550,232,448,51.8,19,68,27.9,67,98,68.4,78,207,285,89,54,43,31,74,743,2.87,1.74,2602920
Davis Bertans,49,1219,547,160,397,40.3,143,358,39.9,84,95,88.4,17,130,147,41,29,13,27,116,502,1.52,1.07,15000000
Marvin Bagley III,39,1006,547,223,441,50.6,36,100,36,65,114,57,96,192,288,39,21,19,54,92,593,0.72,0.39,8963640
Robin Lopez,63,1210,541,225,355,63.4,5,18,27.8,86,121,71.1,122,118,240,52,14,37,66,97,653,0.79,0.21,7300000
Cedi Osman,54,1344,540,192,522,36.8,88,292,30.1,68,87,78.2,36,145,181,152,49,9,64,104,518,2.38,0.77,8750000
Jae Crowder,55,1508,539,179,446,40.1,130,341,38.1,51,67,76.1,30,236,266,118,44,23,52,108,655,2.27,0.85,9258000
Robert Covington,62,1991,539,186,457,40.7,120,314,38.2,47,57,82.5,54,363,417,104,89,76,62,168,882,1.68,1.44,12138345
Delon Wright,55,1475,532,193,421,45.8,49,133,36.8,97,122,79.5,52,170,222,229,82,23,66,64,769,3.47,1.24,9000000
Desmond Bane,59,1304,531,198,425,46.6,99,223,44.4,36,43,83.7,28,153,181,97,34,11,51,116,569,1.9,0.67,1936440
Grayson Allen,48,1227,528,173,409,42.3,107,270,39.6,75,87,86.2,18,137,155,103,45,8,47,71,544,2.19,0.96,2545320
Jakob Poeltl,61,1624,523,232,368,63,0,0,0,59,117,50.4,200,287,487,113,40,107,80,153,996,1.41,0.5,8101852
Hamidou Diallo,48,1094,520,193,412,46.8,21,64,32.8,113,177,63.8,55,186,241,95,40,21,70,123,564,1.36,0.57,1663861
Landry Shamet,54,1220,519,170,409,41.6,117,298,39.3,62,72,86.1,9,92,101,84,27,8,46,83,444,1.83,0.59,2090040
Ricky Rubio,61,1595,515,168,440,38.2,57,183,31.1,122,141,86.5,24,174,198,397,91,3,103,127,810,3.85,0.88,17000000
Talen Horton-Tucker,59,1153,515,199,439,45.3,31,120,25.8,86,110,78.2,22,135,157,152,56,20,87,115,549,1.75,0.64,1517981
Dorian Finney-Smith,52,1689,509,188,406,46.3,105,266,39.5,28,35,80,90,201,291,85,49,22,38,122,693,2.24,1.29,4000000
Isaac Okoro,59,1875,508,185,439,42.1,49,172,28.5,89,122,73,60,110,170,102,59,23,77,163,498,1.33,0.77,6400920
Bruce Brown,58,1278,500,203,372,54.6,16,55,29.1,78,106,73.6,97,201,298,90,53,21,50,131,715,1.8,1.06,1663861
Nicolas Batum,61,1705,494,173,379,45.6,102,250,40.8,46,54,85.2,48,244,292,139,64,33,51,98,757,2.73,1.26,11608231
Kenrich Williams,64,1373,493,205,387,53,47,109,43.1,36,63,57.1,83,183,266,143,50,15,72,136,686,1.99,0.69,2000000
Isaiah Roby,54,1269,489,188,383,49.1,31,95,32.6,82,110,74.5,85,228,313,101,48,34,101,145,661,1,0.48,1517981
Raul Neto,58,1231,488,186,398,46.7,57,148,38.5,59,69,85.5,25,119,144,127,65,4,48,92,558,2.65,1.35,1882867
Cole Anthony,39,1064,484,177,446,39.7,46,139,33.1,84,102,82.4,33,148,181,169,26,17,79,83,511,2.14,0.33,3285120
Furkan Korkmaz,51,996,482,163,399,40.9,97,252,38.5,59,81,72.8,15,90,105,73,48,9,43,59,416,1.7,1.12,1762796
Eric Gordon,27,789,481,159,367,43.3,69,210,32.9,94,114,82.5,8,50,58,71,14,13,51,44,358,1.39,0.28,16869276
Cory Joseph,60,1361,480,184,392,46.9,43,125,34.4,69,85,81.2,33,115,148,194,58,16,72,131,600,2.69,0.81,12600000
T.J. McConnell,60,1525,480,221,399,55.4,13,39,33.3,25,38,65.8,42,168,210,392,107,20,111,97,907,3.53,0.96,3500000
Luke Kennard,58,1137,475,179,374,47.9,93,202,46,24,29,82.8,14,140,154,98,20,9,45,85,511,2.18,0.44,5273826
Isaiah Stewart,62,1281,470,201,349,57.6,15,37,40.5,53,77,68.8,149,261,410,52,34,75,61,165,808,0.85,0.56,3121080
Jordan Poole,43,800,469,159,382,41.6,75,217,34.6,76,86,88.4,9,62,71,85,24,7,41,70,382,2.07,0.59,2063280
Anfernee Simons,56,934,458,153,359,42.6,112,254,44.1,40,51,78.4,12,107,119,82,17,7,38,81,428,2.16,0.45,2252040
Payton Pritchard,59,1142,455,164,363,45.2,88,211,41.7,39,43,90.7,31,107,138,107,32,9,51,96,487,2.1,0.63,2035800
Paul Millsap,51,1061,454,173,357,48.5,45,129,34.9,63,88,71.6,70,176,246,86,43,35,44,102,611,1.96,0.98,10000000
Monte Morris,44,1151,453,174,365,47.7,49,130,37.7,56,71,78.9,11,84,95,141,31,13,32,45,495,4.41,0.97,1663861
James Wiseman,39,836,448,191,368,51.9,12,38,31.6,54,86,62.8,55,171,226,26,11,36,60,121,478,0.43,0.18,8730240
Malik Monk,34,744,441,156,339,46,75,174,43.1,54,66,81.8,13,74,87,68,18,4,48,43,375,1.42,0.38,5345687
Royce O'Neale,63,2005,437,153,345,44.3,95,246,38.6,36,42,85.7,76,366,442,161,49,29,72,168,848,2.24,0.68,8035714
Steven Adams,57,1581,437,189,305,62,0,3,0,59,133,44.4,212,294,506,109,54,37,78,113,875,1.4,0.69,27528090
Dwight Howard,62,1074,435,160,273,58.6,4,18,22.2,111,192,57.8,170,351,521,53,27,58,103,181,797,0.52,0.26,2564753
Josh Hart,47,1350,434,151,344,43.9,63,193,32.6,69,89,77.5,53,324,377,109,38,12,49,111,708,2.22,0.78,3491159
Aaron Holiday,61,1053,433,154,398,38.7,63,170,37.1,62,75,82.7,11,67,78,105,40,11,57,89,353,1.84,0.7,2345640
Blake Griffin,39,1019,429,145,356,40.7,60,181,33.1,79,107,73.8,27,172,199,121,28,13,56,94,495,2.16,0.5,33685241
Serge Ibaka,39,919,427,176,347,50.7,38,108,35.2,37,45,82.2,68,193,261,68,9,46,44,74,588,1.55,0.21,9258000
Terance Mann,62,1205,424,160,328,48.8,36,87,41.4,68,83,81.9,54,178,232,100,28,13,39,121,575,2.56,0.72,1517984
DeAndre Jordan,55,1225,423,190,248,76.6,0,1,0,43,84,51.2,115,300,415,91,17,65,81,112,831,1.12,0.21,10375678
Wayne Ellington,44,962,421,142,319,44.5,109,259,42.1,28,35,80,12,70,82,63,17,9,29,59,379,2.17,0.59,3005225
